29,Lonzo Ball\balllo01,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
30,Mohamed Bamba\bambamo01,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
31,J.J. Barea\bareajo01,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
32,Harrison Barnes\barneha02,PF-SF,26,TOT,52,52,1692,303,754,.402,127,331,.384,176,423,.416,.486,173,206,.840,40,189,229,71,37,11,73,85,906
32,Harrison Barnes\barneha02,PF,26,DAL,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866
32,Harrison Barnes\barneha02,SF,26,SAC,3,3,108,13,37,.351,6,20,.300,7,17,.412,.432,8,8,1.000,4,18,22,9,4,0,5,6,40
33,Will Barton\bartowi01,SG,28,DEN,18,13,479,79,193,.409,28,78,.359,51,115,.443,.482,31,39,.795,17,63,80,62,5,10,27,36,217
34,Keita Bates-Diop\bateske01,SF,23,MIN,6,0,34,3,11,.273,0,5,.000,3,6,.500,.273,0,2,.000,0,6,6,0,0,1,1,2,6
35,Nicolas Batum\batumni01,SF,30,CHO,57,57,1778,193,420,.460,81,210,.386,112,210,.533,.556,62,73,.849,51,246,297,191,55,31,92,102,529
36,Jerryd Bayless\bayleje01,PG,30,MIN,19,6,403,47,141,.333,23,70,.329,24,71,.338,.415,7,12,.583,7,31,38,75,10,1,19,32,124
37,Aron Baynes\baynear01,C,32,BOS,34,10,507,69,148,.466,16,48,.333,53,100,.530,.520,39,46,.848,60,87,147,38,6,22,28,82,193
38,Kent Bazemore\bazemke01,SG,29,ATL,44,30,1122,209,476,.439,61,192,.318,148,284,.521,.503,95,131,.725,23,144,167,108,69,36,87,115,574
39,Bradley Beal\bealbr01,SG,25,WAS,58,58,2158,535,1134,.472,145,416,.349,390,718,.543,.536,243,298,.815,66,228,294,311,82,44,167,173,1458
40,Malik Beasley\beaslma01,SG,22,DEN,57,14,1371,262,521,.503,119,275,.433,143,246,.581,.617,39,44,.886,22,121,143,68,38,6,34,88,682
41,Michael Beasley\beaslmi01,PF,30,LAL,26,2,277,75,153,.490,3,17,.176,72,136,.529,.500,28,39,.718,13,47,60,25,9,10,27,42,181
42,Marco Belinelli\belinma01,SG,32,SAS,57,1,1295,210,502,.418,111,288,.385,99,214,.463,.529,92,100,.920,11,121,132,109,28,8,50,91,623
43,Jordan Bell\belljo01,C,24,GSW,48,2,531,64,124,.516,0,1,.000,64,123,.520,.516,14,21,.667,38,88,126,56,16,36,24,58,142
44,DeAndre' Bembry\bembrde01,SG,24,ATL,58,15,1412,186,434,.429,37,129,.287,149,305,.489,.471,55,89,.618,31,206,237,145,72,30,101,137,464
45,Dragan Bender\bendedr01,PF,21,PHO,24,7,301,34,84,.405,7,45,.156,27,39,.692,.446,16,24,.667,16,52,68,21,5,3,16,28,91
46,Davis Bertans\bertada01,PF,26,SAS,53,10,1130,148,305,.485,109,229,.476,39,76,.513,.664,35,40,.875,18,166,184,66,28,26,32,91,440
47,Patrick Beverley\beverpa01,PG,30,LAC,59,30,1579,136,341,.399,77,201,.383,59,140,.421,.512,80,103,.777,49,226,275,208,46,31,62,203,429
48,Khem Birch\birchkh01,C,26,ORL,27,0,293,36,61,.590,0,1,.000,36,60,.600,.590,23,28,.821,28,59,87,18,9,18,8,27,95
49,Bismack Biyombo\biyombi01,C,26,CHO,31,17,470,51,90,.567,0,0,,51,90,.567,.567,35,54,.648,47,103,150,18,8,34,18,63,137
50,Nemanja Bjelica\bjeline01,PF,30,SAC,56,55,1307,211,437,.483,81,192,.422,130,245,.531,.576,52,68,.765,93,230,323,109,41,45,69,144,555
51,Antonio Blakeney\blakean01,SG,22,CHI,42,0,580,120,284,.423,32,70,.457,88,214,.411,.479,38,56,.679,6,59,65,23,10,8,25,26,310
52,Eric Bledsoe\bledser01,PG,29,MIL,56,56,1630,339,689,.492,87,271,.321,252,418,.603,.555,121,158,.766,55,198,253,303,83,22,116,120,886
53,Jaron Blossomgame\blossja01,SF,25,CLE,27,4,439,47,106,.443,10,39,.256,37,67,.552,.491,10,13,.769,26,72,98,13,7,8,11,20,114
54,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,45,9,1258,247,582,.424,82,247,.332,165,335,.493,.495,92,114,.807,21,141,162,180,48,10,80,88,668
55,Bojan Bogdanovic\bogdabo02,SF,29,IND,58,58,1845,350,708,.494,115,270,.426,235,438,.537,.576,159,192,.828,28,203,231,104,48,0,90,101,974
56,Jonah Bolden\boldejo01,PF,23,PHI,28,3,350,41,84,.488,15,47,.319,26,37,.703,.577,8,18,.444,25,73,98,17,8,24,23,59,105
57,Isaac Bonga\bongais01,PG,19,LAL,8,0,31,2,10,.200,0,2,.000,2,8,.250,.200,4,7,.571,3,3,6,6,3,0,2,3,8
58,Devin Booker\bookede01,SG,22,PHO,44,44,1529,381,828,.460,91,280,.325,290,548,.529,.515,228,269,.848,26,148,174,293,39,8,171,143,1081
59,Chris Boucher\bouchch01,PF,26,TOR,17,0,93,22,48,.458,10,25,.400,12,23,.522,.563,11,13,.846,11,17,28,0,3,16,2,17,65
60,Avery Bradley\bradlav01,SG,28,TOT,52,52,1554,186,463,.402,64,183,.350,122,280,.436,.471,20,25,.800,35,104,139,109,30,16,68,138,456
60,Avery Bradley\bradlav01,SG,28,LAC,49,49,1463,161,420,.383,58,172,.337,103,248,.415,.452,20,25,.800,35,96,131,96,27,16,61,133,400
60,Avery Bradley\bradlav01,SG,28,MEM,3,3,91,25,43,.581,6,11,.545,19,32,.594,.651,0,0,,0,8,8,13,3,0,7,5,56
61,Tony Bradley\bradlto01,C,21,UTA,1,0,9,0,3,.000,0,0,,0,3,.000,.000,0,0,,2,1,3,0,0,0,1,1,0
62,Corey Brewer\breweco01,SF,32,PHI,7,3,140,20,49,.408,4,14,.286,16,35,.457,.449,9,13,.692,4,13,17,10,12,2,8,16,53
63,Mikal Bridges\bridgmi01,SF,22,PHO,59,45,1643,173,399,.434,81,230,.352,92,169,.544,.535,57,73,.781,40,144,184,104,91,30,48,145,484
64,Miles Bridges\bridgmi02,SF,20,CHO,55,0,1042,138,309,.447,38,123,.309,100,186,.538,.508,43,59,.729,32,159,191,54,28,35,33,69,357
